Segment,Node,Node,diam.,length,node,from,node,to
No.,name,from,to,x,y,z,x,y,z
68,P1a,65,61,8.2,80.80,450.0,0.0,25.0,498.0,65.0,25.0
69,P1b,61,64,8.2,33.97,498.0,65.0,25.0,521.0,90.0,25.0
70,p1c,66,64,8.2,38.95,550.0,116.0,25.0,521.0,90.0,25.0
71,P2,64,67,7.8,37.22,521.0,90.0,25.0,502.0,122.0,25.0
72,P3a,67,60,8.0,36.06,502.0,122.0,25.0,468.0,134.0,25.0
73,P3b,60,68,8.0,72.11,468.0,134.0,25.0,400.0,158.0,25.0
74,Q1a,59,68,5.8,48.70,446.0,174.0,25.0,400.0,158.0,25.0
75,Q1b,68,69,5.8,51.62,400.0,158.0,25.0,352.0,139.0,25.0
76,Q1c,69,70,5.8,33.73,352.0,139.0,25.0,319.0,132.0,25.0
77,Q2,70,71,4.7,62.58,319.0,132.0,25.0,257.0,138.0,31.0
78,Q3,52,71,7.1,107.30,354.0,181.0,47.0,257.0,138.0,31.0
79,Q4,71,72,7.1,173.23,257.0,138.0,31.0,119.0,46.0,81.0
80,R0a,52,53,15.1,22.38,354.0,181.0,47.0,353.0,161.0,37.0
81,R0b,53,69,15.1,25.08,353.0,161.0,37.0,352.0,139.0,25.0
82,R1,69,73,7.1,26.42,352.0,139.0,25.0,375.0,126.0,25.0
83,R2,73,68,6.6,40.61,375.0,126.0,25.0,400.0,158.0,25.0
84,S1,50,74,11.6,31.87,325.0,234.0,55.0,299.0,246.0,69.0
85,S2,74,75,4.8,103.10,299.0,246.0,69.0,196.0,242.0,71.0
86,S3,75,76,6.6,150.39,196.0,242.0,71.0,90.0,136.0,83.0
87,S4,75,33,4.7,53.81,196.0,242.0,71.0,148.0,266.0,75.0
88,S5,76,77,9.7,55.73,90.0,136.0,83.0,81.0,81.0,83.0
89,S6,77,72,10.2,51.70,81.0,81.0,83.0,119.0,46.0,81.0
90,T1,51,78,6.7,116.86,315.0,187.0,47.0,199.0,201.0,49.0
91,T2,78,79,7.1,116.64,199.0,201.0,49.0,95.0,153.0,71.0
92,T3,79,80,10.5,80.59,95.0,153.0,71.0,136.0,86.0,89.0
93,T4,80,72,9.5,44.19,136.0,86.0,89.0,119.0,46.0,81.0
94,U1,81,82,28.2,125.51,486.0,520.0,175.0,511.0,397.0,175.0
95,U2,82,83,33.2,225.58,511.0,397.0,175.0,451.0,180.0,161.0
96,U3,83,84,33.2,166.17,451.0,180.0,161.0,550.0,47.0,150.0
97,V1,85,86,6.2,126.94,550.0,513.0,105.0,501.0,397.0,89.0
98,V2,87,86,7.3,50.45,550.0,409.0,89.0,501.0,397.0,89.0
99,V3,86,88,6.6,169.90,501.0,397.0,89.0,386.0,272.0,93.0
100,V4,88,89,6.4,23.69,386.0,272.0,93.0,363.0,268.0,97.0
101,V5,89,90,5.3,31.76,363.0,268.0,97.0,372.0,296.0,109.0
102,V6,90,91,6.0,31.45,372.0,296.0,109.0,400.0,283.0,115.0
103,V7,91,92,6.3,36.73,400.0,283.0,115.0,423.0,255.0,121.0
104,V8,92,83,5.4,89.49,423.0,255.0,121.0,451.0,180.0,161.0
